Actual Solution,Predicted Solution,Cross Checked Solution
tbAfM,tbfm,"tbF7
"
ekH9,e7H9,"eZH9
"
zD8YHGiT,ZD8xVGIT,"ZDsYHGitT
"
nDIh,nDqh,"nph
"
MQsDbxdHL,MOSDbyctrl,"MOSDbxCHL
"
YJ74,Y74X,"YJY74
"
WI2HlKtzZb,W2HkTZ1b,"W2HkZ1b
"
o4BXO,OBKO,"OBVIOUS
"
TYQA,TQA,"TQA
"
aWc483Jtw,aWC483jtW,"awC483jtW
"
9zzL,9VZ,"9vZL
"
RzBl6Vix,pZBL6vIx,"pZBL6vIx
"
XjlUssD,XjKUSSD,"xjksSd
"
WGn6,wGn6,"WGn6
"
hybu,hyou,"hybu
"
ZMkBM20,zMkBMr0,"zMkBMr0
"
3u7e,3u^x,3ue
qfww,qfwHzl,"afWlz
"
ZlFkJ5m,zlFk/5m,"FkJ5m
"
bcKp3,BGC*P3,"Bc74p3
"
0vgGRZB,ONyGRB,"ONV9GR7B
"
s597zC,S3971C,"S5977C
"
TBlNXcxk,TBIMActk,TBMXck
1uSC,1uSc,"1uSc
"
VWrguxc,KWRgUxC,"KW1gUxc
"
Qhhosp,QnhOsp,"QnhOsp
"
osjevtv,osjevrv,"osjevvv
"
3npXrJt,3hpxXrt,"3hpxrt
"
fVkX,fvk+,"fvkh
"
y7D6AZJqN,J7D6AZqN,"J7D6AZqN
"
eKLJx,eKLJx,"ekLJx
"
88yQU,8SyqU,"∞8yqU
"
awKJUj7ox,aWkJU7i7OX,"2WkJU;70X
"
pHaa,P H A A,"PHAA
"
NemBlK,NeMBK,"NemBk
"
AweT,AweT,"Awet
"
jf4mSA2,jkmSA2,"Jf7mSA2
"
ncJFVkno,nCKFVkno,"mCjFVkno
"
ca7s5,ca7S5,"ca7s5
"
Drtq,Dr7q,"Dr<q
"
kL368WEc,KL368WEC,"KL368EC
"
fRtmmql2T,fRMnr912T,"fRMmr912T
"
nMeorW,nmEorvw,"nmEorw
"
ccet,ccet,"ccet
"
CMLb,cMLB,"CMLB
"
Ijkcc,INKCc,"Ijkcc
"
PAfbBZF,PaFbLF,"PaFpb7LF
"
wI5ZdO,w\15z00,"W157d0
"
7csKI,7CsKi,"7csIk
"
eejA,eeiA,"eejA
"
SrP7,SR?7,"SRp7
"
tOdarIL,todqrlL,"Xodarlv
"
u8t5c,u8t5c,"u8t5c
"
7l3T,l3T,"I7³T
"
Tjne,TVNE,TUNE
45Da,45Da,"45Da
"
0vgGRZB,OV9GR7B,"ONG9GR7B
"
NemBlK,NembBk,"NemBk
"
6FVNu8,6FUNU8,"6FUNN8
"
fm0p1o,fm0p10,fmov10
5euEN,5euN,5exEN
YKtFOLQY4,YkTFOk@YA,"YkTF0k@y4
"
W2so,W2S0,W2S0
PjzDk,PjlDk,"PjlDk
"
37UBR0J,37UBR0J,"37UBR0J
"
vzDqIAvpe,vZDq1Avpe,"VZdqVAvpe
"
uIkHn5ue,U*Hn5ue,"U*Hn5Ue
"
uhQruYw,ruYW,"yhoruw
"
TBlNXcxk,TBlXcK,TBMXck
hw7vVb,hw7vLb,"hw7Vlb
"
Eye66HW6HI,E6H6H,E66H6HN
OTjrM,0jyRy,0->jvRy
lSZj,lSzj,"rSZj
"
VKGgi,VXGGI,"VxgGgI
"
ZOlE,lQE,"lQE
"
zvraLcRJI,ZvraLCRJI,"Zv~aLcRJl
"
quUh4,aukhA,"aUkH4
"
CpVp,RVP,"rVp
"
KKpojbkW,KKpOibkW,"KKpOibkW
"
3gA2X,3gA2x,"3gA2x
"
9iOuWKs,9iouwnks,"9iouwkS
"
OjzrO0,OjZroo,Oj1roo
Ze9Mn,e9Mn,"e9Mn
"
dpqdqxTt,d9XT,"dbqdq9txt
"
akfYEb,akfYEb,"akfYEb
"
rc8G3EZ,rc8G3EZ,"rC8G3Ez
"
fnKm,fkKm,f1km
U5uH,USUH,"USUH
"
8aemX,genmx,"gleemax
"
6Wjv8da,6w4jV8da,"6wjV8dq
"
hyL1a,h<1a,"hl1a
"
DgPMC5AED,DgpnC5AED,"DgpMC54ED
"
vzDqIAvpe,vZq1Aype,"VZdqVAvpe
"
V0rD,V0xD,"V0x7D
"
wXzk4p,zXzK4p,"Zxk4p
"
zfvyFP,Z1VYep,"Z1VyEp
"
1daMKcm,zdaqkcm,"todaycm
"
L1Qd4X,LRdA4x,"LpqdAx
"
lQlskUPy,QISKPY,"VQIskUpy
"
tnjbUU5Hq,tnjbw5H,"tnjbw5Hα
"
6VSjBcNL,VSiBCN<,"6VsBCNk
"
SnPKQ7p,snpk7qP,"snpk7qp
"
bhbnX6w,mbN+w,"bNb76w
"
Fcx3x7,FLX3X1,"FLx3x1
"
fZ1dZLC6r,fz1dKevc6r,"fz1qevc6r
"
P5LshzyT,P5lashzKT,"p5lashZkT
"
j4jIYAb,j4jLYAb,"j4jIYAb
"
XbtM,XbtM,"XbM
"
exgs,ExgS,"exgs
"
AweT,AWET,"Awet
"
PtfMm9,PtfMh29,"ptfMh9
"
nMeorW,nMEorW,"nmmeowrw
"
rQFe,roFe,roFe
eOclaH,ecloH,"eocIoH
"
pOmc44,pOmC44,"pomC44
"
SJTU,sTU,"sTU
"
CqZ3,CQL3,"cqL3
"
XhKfUplot,xhKfUpOx,"xhKfUpOx
"
dKXJZXE,dfHJZxE,"FJXZxE
"
RXNC5,R4NC5,"R1nC5
"
5euEN,5exEN,5exEN
yzV9gF3dXC,vZVg8r3dXCh,"yZV9873dXc
"
5euEN,5eUN,"5exEN
"
uwjTi,uZjTi,"uZjTi
"
Lq5bS,La5bs,"La5bs
"
yUO3dax,yUo3qax,"yU03dx
"
dN1d,Dm>d,"Dm>d
"
L3gtuKi,38tWKiL,"l38gtkwi
"
CpvO,CPLO,"CpL0
"
tbAfM,tbF7,"tbff1
"
dN1d,Dna,"Dm>d
"
foWNL1JU,FOLLOWJU,"fOKWNLDJU
"
zVhqItoUA,Zv9ltauA,"ZwaltoUA
"
hf0qz,Hfo2Z,"hf09z
"
0dm50xW,odm50xW,"odmn50xw
"
3IuveJl,3IuVe^1,3I4ve1
45hn,45hn,"45hnm
"
92ADqO,92ADaO,"92ADαO
"
qfl4,JfV4,"JfV4
"
qiUH,qiUH,"aICUн
"
uhQruYw,4b0ruw,"uhoYruYvW
"
ekH9,eH9,"eZH9
"
pkL0VZ,pkLOv2,"pkLOvw
"
Is9O,ls9O,"b590
"
UkaB1yj,ckabzyj,"tKabYj
"
3NVEpzp,3NVFZPZQ,"3NVEPZρ
"
U5uH,USUHS,"USUH
"
zvraLcRJI,ZVCRJI,"Zv^aLcRJl
"
Anqsdxb,Ahsxb,"Ahasaxb
"
eICrS1u,eCrSk1,"eCrSkl
"
eUWIWD,eUwIWsd,"euwwIwD
"
ydTNnI,jd7NM1,"jd7NM1
"
eibgGJw,eivgGW,"beingGJW
"
JKWeA3,kKw eA3,"kweA3
"
Am49pc8,NA49pC8,"Avn49pCc8
"
s05K7PoT3,S05K7POT3,"P05K7P0T3
"
65exi,65ex1,65ex1
hSzgGOpn,hrSZgGOrpn,"hrSTzgGOpn
"
DfqsbPn,Dfqsvpn,"Dfqsopn
"
KuLisQ,KuliSq,"KuLiSq
"
2xBywz,2XByWZ,"2XBwZ
"
xrnS1b247,xr^S1b241,"xrwS1b241
"
ekH9,eKTH9,"eZH9
"
U9vAc,u9zAC,"U92AC
"
3Yb76mT,3Yb6m,"3Yb76m1
"
ihPZ6TU,ihRe6TU,"ihRe6TU
"
P5WC,B5WC,"B5WC
"
xU4U42g,XU4U429,"XU4U42g
"
cYy3ZeU8z,CyZeU81z,"GyB3zeU8l
"
Ze9Mn,ze9Mn,"e9Mn
"
wjXi,WjX1,"Wjx1
"
rzhc,K2C,"K2C
"
Uj5daSb8I,Uj5dasb8I,"Uj5dasb8I
"
ZslK6,LS1k6,"LSIk6
"
3u7e,3u>e,"3u>e
"
enN5diE2i8,eNvsd'iE2i'8,"enNVsd'iE2i'8
"
MTYvJ9E,MTYL4J9E,"MTYvJ9E
"
YHl9x,YHl9x,"YH19x
"
kY53,ky53,"Ky53
"
etA3vV,etA3VL,"etA3VW
"
uaDd,UaDd,"UaDd
"
COiXqQ3,Coix9Q3,"CoiX9Q3
"
kYJ6,kY6,"kY6
"
DUNA,DUWA,"DUWA
"
sFrU,SFSU,"SFSU
"
P5LshzyT,P5LShZkT,p5lashzxt
rKWm,rtWm,"rtWm
"
5stvfX,5stVFx,"5stVFx
"
gVM4,gVm4,"gVm4
"
e4FodmvK,e40dnVK,"e4F0dnVK
"
uhQruYw,UhoYruYVW,"UhoCruYvw
"
0DxmJ1qB,oDtm1B,"OD7mJ1aB
"
WdbC,WdBC,Wdbc
wX7Qffy5,WXOFFY,"WxOffYs
"
YFg5,YFg5,"y7g5
"
5H4XPv,5H4xPL,"5H9xPL
"
IZjiwONp,rziviwONR,"lZviwONr
"
uaDd,u'Dd,"UaDd
"
RURbDMzl,U R b D M Z,"rUPbDMZ
"
J4c0D2K,4COD2K,"J4COD2k
"
qiUH,aiUH,"aICUн
"
gviytL8Kk,gVbtZ8Kk,"gVibtZ8kk
"
ym6c0v5,ymoca5,"y≈6cav5
"
OY9VIw,O%VW,"0%VW
"
rn6xPU,rn6xpU,"vnn6xpU
"
3ZcnB9N3,3cn9N3,"3cn9N3
"
fyOvVoS,fyOVVas,"fYoVvOs
"
wln1,w\n/,"w1n1
"
SouXSyoPE,SouXsyORE,"SOuZXsYOPe
"
xU4U42g,xU4U42g,"XU4U42g
"
ZslK6,LSIk6,"LSIk6
"
ay26,a26,"ayr26
"
OsZEflkk,OSZK,"OsZeXkVkK
"
ITD4k07,ITD4K07,"ITD4K07
"
dKXJZXE,dfHjZxE,"fxyzE
"
mZLhMvV,m1LkWdV,"m2L5NmvJ
"
AFZd,AF7q,"AF7qd
"
qqJRl,a2JR4,"a2JR4
"
C8Vz4QX,C8VZ4QX,"C8V7L4QX
"
bFTgA,BFTGA,"BFTGA
"
GQ4eDrM6,G4edM6,"GQ4eDM6
"
ILqxLErt,LqXver,"ALqxVr2
"
hf0qz,hfoqz,"hf092
"
o8ziqH,08iqH,"o8ziqH
"
m7WcainRa,M7cavinRa,"m7winCRa
"
QRphJ6y,QRphl6y,"QRphj6y
"
JIILSp,JIVSp,"jIVSp
"
TBlNXcxk,BLACK,TBMAXck
vbqIflgp,vbgfigp,"vbgfigp
"
bhbnX6w,bNb76w,"bMb76w
"
tJRma,tjRma,"tJRma
"
6gwW,6GWw,"6GW1
"
VKGgi,VGAGI,"VxgGg1
"
gMKwqry25,GMKW9rY25,"g8MKW9ryY25
"
KPGKC,kPGKc,"KpGKc
"
E2HSG,E2HSG,"E2H SG
"
eICrS1u,erCrS,"eCrSkl
"
rSGjoOj,rSGjooj,"rSGjooj
"
cYy3ZeU8z,GyB3zeU8zL,"GyB3zeU8l
"
AduEkr,AduEkxr,"AdUIEkr
"
vzDqIAvpe,VZq1AVNpe,"VZdqVAvpe
"
Ppdc996b6,PpC906b6,"ppdc996b6
"
Jj1L1wE,JjVxwWE,"JjVxwWE
"
sbZpPNvhY,sbZppNVWY,"sbZppNvwY
"
V005,v005,"V005
"
ccet,Ceter,"ccet
"
XOgzX,xOgzX,"X0gZx
"
VavUb,aUb,aUb
XClafgfT,tClafrT,"xcfg1a f g fT
"
nm5sttj,nm5Stj,"nm55tj
"
XbtM,XbtM,"XbtM
"
IUwy9nd,Uwy9nd,"twy9nd
"
sgUJ2P8,sgUJ2p8,"S<sub>g</sub>U<sup>J</sup><sub>p</sub>8
"
htJ96ES,htJ96ES,"htj96ES
"
6xMGb,6XMG3,"6xMGB
"
DZ53IZX,D5311x,"D→5311x
"
MsDp,MSDP,"MSDP
"
m2oqs0kx,m2O9Sokx,"m2OqSokx
"
tm3GJ,TMBGJ,"TM3GJ
"
dN1d,DM>d,"Dm>d
"
SouXSyoPE,SOuZXsYOPe,"SOuZXsY0vPE
"
6f3hZ5pO,6f3hZL5pO,"6f3hL5pO
"
mMNP1,mmMNp1,"mmMNp1
"
2xBywz,2XBLwZ,"2XBwZ
"
xcw8zcK,XSW8zck,"XSW8zkK
"
jNdzNLqPw,jdxN19pw,"jdxN19pw
"
tkShLM4k,tkSzhLAk,"tkSzhLAk
"
YhEXDP,vhEXDP,"vheXDP
"
2oknR,20kNR,"20kNR
"
8XoHBCAv,8x0HBCAN,"8XOHBCAV
"
9Q1J3IY7,gQl3->7,"9Qlj3>7
"
Sx0MH8jb,SxOMH8p,"SXOмH8ρ
"
HnWd9s4,HZnWq9S4,"HzWq9S4
"
qiUH,aICU,"aICUн
"
9I3tIxUx,g3t\xUx,"d3t1xuJх
"
dFwm6y,dkWmy6y,"dkWmV6y
"
TZbrbkds,Tz6rbkes,TTZbRbxs
XcyoUA,xCyOUA,"xCOUA
"
2oknR,2Ok nR,"20k nR
"
foWNL1JU,fOwNlJU,"fOKWNLDJUU
"
hK74,hK7A,hk74
WkkMPZG,WKLMPGZ,"WkLMPZG
"
fPyQqodU,fPy09OdU,"fPyoqOdU
"
CxKIsu,cXKisu,"CXIsSu
"
ln1ICxF,lhlCXF,"lhlCXF
"
Tnjub,TnjWb,"TnjWb
"
IlzqwQfG,I7ZqWQfG,"IVZqWNQfG
"
ccet,Ccet,"ccet
"
mvA5tHjI,mvA5tHAjiI,"mVA5thHjI
"
WdbC,WdBC,"Wdbc
"
ZjXGzfF9Oc,jxXGZf90c,"jxXGZf90c
"
lXdFGfqR,IXqFGfqR,"IxqFGgfgqR
"
mMNP1,mMvpl,"mMNVp1
"
230a5s,230a5S,"230a5S
"
iNKK6,iNK6K6,iNkK6
PrUfqG,PrUf9G,"PUR49G
"
kXlfSJJ6,kXfsJ6,"kXJ6SJ6
"
GucMwYI5O,GuCMwyI50,"GuCMwyI50
"
Ppdc996b6,ppdc996b6,ppdc996b6
nVhtWY,ntwY,Nightwy
WCTKzRA00,WCTKzRA00,"WCTKzR^00
"
exgs,exgs,"exgs
"
ITD4k07,ITD4K07,"ITD4K07
"
0eWWN,OezWN,"oezWN
"
OT3FhYKw,OT3^hYkw,"OT3zhYkw
"
hw7vVb,hw7vlb,"hw7Vlb
"
LcUvaGa,LcWvQGga,"LcWvqgGa
"
ITD4k07,ITD4KO7,"ITD4K07
"
k4uXNK,K4UXNK,"K4UXYNK
"
wYcIjPZG,Wyc1pZLG,"Wyc1p7ZG
"
eOclaH,eocloH,"ecocloH
"
rzhc,K7C,"K7hC
"
5joZDVN,"SVOLDV""","5JOZDVM
"
JIILSp,jIVSp,"jIVSp
"
4vitovy5N,4v.iOL5N,4N105N
YsbYNbDW,YSbyNbD,"YSbyNbD
"
ZtiJO,ztivo,ztivo
0r6OInox,0r6OVnot,"0r60Vno+
"
6FVNu8,6FVNu8,"6FUNU8
"
0u2mhBU,OUr2wBv,"OUr2wB0U
"
7GXW8ZM,1Gxe4e8z1M,"1GX87LM
"
FXuEie9,FXukeie9,"FXukie9
"
FxMAR,FxMAR,"FxA1R
"
xgXOBHWw,xgxOBHwW,xgxBHww
3NVEpzp,3NVErZp,"3NVepZρ
"
dFwm6y,d4Wm6Y,"dkWmV6y
"
tUcLG,tuCzG,"tucZG
"
0jw1ZgxK,wj^1zgtk,wj^1zgtk
FJr9Yh,Fv9h,"FV9Yh
"
J6Zg,J6Z9,"J6Z9
"
5stvfX,5sTVFfx,"5stVFx
"
lAjO,VJ0,"VAjo
"
yRSPHnW3,yRSPhW3,"yRSPhW3
"
j7JA,j7YA,"jJyA
"
dKXJZXE,oFyZxE,"oHyZxE
"
CpVp,RVIP,"rVp
"
Q57u1up7O,Q57UKI7P7O,"Q57UkuP7O
"
6gwW,6GWW,"6GWV
"
tUIhl,tUIhp,"tUIhp
"
vWJTOS,VWTOS,"vWTOs
"
OsZEflkk,OsZeXkVk,"OsZexVkK
"
SG494l,SG49AL,"SG49AL
"
F5Y6,F5Y6,"F5r6
"
tUIhl,tUIhq,"tUIhp
"
h6xuu1sw,h6rUu15w,"horu15w
"
z67CtUy,z67CtUy,"z67ctUy
"
w1mi3EQ1,W1m3FQ1,"W1m3EQ1
"
FkA9eg3gD,FkA9xeg38D,"FkA9e83xD
"
6IvtUXz8,61TUXZ8,"6IvtUXYZ8
"
ZOlE,zQE,"lQE
"
YFg5,Y65g,"Y7g5
"
1tZb3BxJo,1yL63BXJO,"1163Bxj0
"
mMq7EaBHx,mnM9FEABH x,mnM97ECABHx
pHIgS,pH1gS,"pHgS
"
fqgYZxL,logY>xI,"logY>xI
"
LmZI,Lm2I,LmZ1
4vitovy5N,4N1O5N,"4N1O<5N
"
wI5ZdO,W5Z0,"W157d0
"
AIAkfn,AIAkfn,"AIAkcn
"
jCufHpl,iCUfHp1,iCUfHp/
dENv,QENW,"qEN2
"
nBlg2YhAo,hBlsg2Yh0,hBls2Yh0
AL3E,AL3E,"AL3E
"
Uj5daSb8I,U5dsb8I,"Uj5dasb8I
"
voTP,vOTp,"N0Tp
"
MQxU6D,MPXU6D,"MPXU6D
"
NGAOdLq,NGAGodLq,"NG4odLq
"
gMKwqry25,gMKWqry25,"g8MKW9rY25
"
sKptE,SKIPtE,"SkptE
"
V0rD,V0XD,"V0xD
"
eibgGJw,beingGjv,"beingGjw
"
78z5Dc,78L5DC,"7875Dx
"
ZtiJO,zti0,ztivo
rKWm,rtWm,"rtWm
"
ILqxLErt,ALqXyRz,"1qxvr2
"
yRlsdrDd,YR^Sdid,"JRsdrd
"
MsDp,MSDP,"MSDp
"
tUascgT,twasc9T,"twascgT
"
ME2Ncd23,ME2Ncd23,"ME2NwCd23
"
ZTnYSGg3,zTnYsGg3,"zTnYsGg3
"
7l3T,73T,"I73T
"
YKtFOLQY4,ykTFOx@.YA,"YkTFQ@YA
"
hr1wEK,hrlWEk,"hrlwkEк
"
CAlHMk,CAHmk,"CAzHMk
"
XzTZ,XzTz,"XzTz
"
YsbYNbDW,YSbyNBD,"YSbyNbD
"
UY2GU,UA2GU,"U12GU
"
2qc7,299C,"29c>
"
CAlHMk,CA7HMK,"CAzHMk
"
hyL1a,hXL1a,"hxl1a
"
L1Qd4X,LPQd4X,"Lpd4Ax
"
SG494l,SG49AL,"SGAGA9AL
"
eKLJx,eLJx,"ekLJx
"
k4DizF4yxI,KDzFXYHA,K4DZFXJHV
rZINbRpr,r<=NbRPr,R2lNbRbR
fO4Of,fO4Of,"f04Of
"
2pL3HG7r,2p<3HG>r,2pL3HGV
QDIwZbj,qDIwzbj,"QDIwzbJ
"
m0llnC,mVnC,"m0Vnc
"
09y5e,09Y5E,"09y5e
"
0jw1ZgxK,h1ZgXk,"wj^1zgxk
"
tLoAMQNN6,tLOAMqNN6,"XLOANQNN6
"
AVp1,Avp<,"Avvp
"
sKptE,SkptE,"SkptE
"
QDIwZbj,QDIwzbJ,"QDIwzb j
"
hyL1a,hl1a,"hl1a
"
LJoh3f72Xn,LJohn3&2xn,"LJoh3x2n
"
MsDp,MSDp,"MSDp
"
4kGRe,4KGR,4xKGRe
AVp1,AVP,"Avp
"
atzdo,&XZ0,"axZdo
"
SnPKQ7p,SNAP7QP,"SnP7kQp
"
FYHuX,FYHlux,"FyHlux
"
OY9VIw,d6v/w,"0%VW
"
Pu2S,RLs,pus
fRtmmql2T,RMz912T,"fRMmz9l2T
"
